Intensity,X,Z,ImageIndex
1452.2949,31.202225,5.18468,3
1850.248,17.360615,9.5782166,3
3347.6213,14.822277,11.254813,3
2776.2773,18.449356,13.150549,3
2132.998,17.144495,14.145784,3
1652.0992,22.257788,15.886326,3
2410.6926,14.662917,17.327921,3
2415.1724,8.7458715,20.285234,3
1627.5159,11.983613,19.397041,3
1504.9469,15.985098,18.95615,3
1821.8292,44.67041,20.416317,3
2326.7637,44.033791,22.326313,3
4203.6211,7.3530664,24.301519,3
1660.3682,16.117256,25.177931,3
1975.1276,42.525948,29.335976,3
1485.1134,35.968025,30.889931,3
2122.8306,45.604916,32.283894,3
2051.3196,12.476098,33.350773,3
1602.9679,23.923769,33.877274,3
1917.2677,36.082211,34.085476,3
1735.9729,6.7857828,37.646038,3
2747.3342,14.855487,37.857716,3
1416.5608,11.829385,42.60556,3
2205.957,6.0498919,44.414604,3
1423.4917,32.30817,47.748413,3
2120.8223,6.910718,50.572861,3
1860.4063,45.31538,50.246666,3
1621.0333,9.5324783,51.673542,3
1524.1198,11.510648,52.588943,3
2073.8672,14.089565,51.94558,3
1599.1477,5.4172435,52.653679,3
2600.9788,1.6900785,57.149693,3
2789.2263,47.393597,60.879848,3
1562.9001,8.2516565,63.350418,3
2341.4128,12.954087,62.90234,3
4345.6533,19.706451,63.528976,3
1510.2581,26.685713,63.059502,3
4169.6025,47.341919,62.785213,3
2655.5737,11.116953,63.39502,3
4416.4858,20.82019,62.940556,3
1744.4392,34.386063,64.232048,3
2855.1226,45.157337,64.201363,3
6663.9023,1.9307961,64.537971,3
1534.4651,58.564816,64.884377,3
1888.3854,19.847319,71.023727,3
1505.2117,9.6957626,71.418541,3
1661.1311,5.1765556,75.263443,3
2042.1914,49.360538,74.652618,3
1535.7427,37.580158,75.680237,3
1704.374,8.9064589,77.430267,3
1861.796,11.075218,76.765793,3
1745.8109,30.111685,77.148788,3
1992.3572,9.9275427,78.18914,3
1419.5104,34.527145,80.915497,3
1577.4265,33.66856,85.557922,3
1488.7836,5.5954561,89.717499,3
1734.4417,10.841141,90.070831,3
1474.0249,13.449335,91.361015,3
1702.6765,41.125965,92.462418,3
1660.3126,42.916233,94.06559,3
1589.3436,46.000938,94.995148,3
1479.8154,10.019176,97.132439,3
4091.561,5.6291642,100.94162,3
1414.0165,42.546513,103.21224,3
1717.2329,19.754143,104.32426,3
1425.4958,11.645881,106.92522,3
5835.5796,7.9791431,106.72676,3
1803.9735,6.943933,110.46249,3
1579.3135,22.76318,110.34993,3
4103.8135,9.8884878,111.34388,3
2066.8672,17.026546,112.0904,3
1880.6499,12.034715,113.77481,3
1598.8937,34.385803,4.6720562,4
2724.2996,19.702747,7.9493313,4
2387.8977,20.947651,7.3774939,4
1346.755,30.554485,6.7782145,4
1402.1912,29.91366,9.2458973,4
1507.3817,15.269554,10.640429,4
1579.5364,24.329748,10.060822,4
1808.0457,18.213057,13.270111,4
2340.6343,11.93011,14.845534,4
1079.316,27.113716,14.581363,4
1586.7412,16.140915,18.376244,4
2694.135,9.1329231,20.794147,4
1866.8168,16.761564,20.380665,4
1105.3765,53.75959,21.274904,4
2642.6223,6.9553475,25.46335,4
1624.4222,15.790981,25.080029,4
2237.3994,41.834785,28.283413,4
1467.876,5.5623169,28.936258,4
1184.4608,49.514015,27.872738,4
1157.1606,6.9608216,34.019913,4
1561.3756,7.6248169,37.821682,4
1219.7041,4.1106434,40.97879,4
1623.7185,4.8867159,41.814072,4
1526.1644,30.647606,42.965321,4
1140.2417,56.112267,43.648483,4
1677.6055,6.8645916,44.982677,4
1210.4425,36.374916,47.942635,4
2347.1755,14.192043,49.145718,4
1237.2341,12.721367,49.541725,4
1400.6151,7.8038244,51.561382,4
1688.9337,63.971306,51.323895,4
2770.0393,5.0590477,52.88813,4
1098.2144,15.142771,55.222992,4
1515.3702,54.260506,54.666134,4
1478.2075,18.614429,56.432522,4
1114.598,12.030825,57.650665,4
1719.3282,1.8187916,60.018124,4
2138.3457,46.956738,62.591583,4
2640.1064,2.7698088,63.149376,4
3146.5049,19.85462,63.334267,4
2757.0557,46.881405,62.616642,4
2128.7639,8.447506,64.225014,4
3758.3142,11.777624,63.885353,4
1353.5275,14.506489,64.31752,4
1591.7604,18.373442,63.661652,4
2709.2224,20.779751,65.151344,4
2661.4438,23.314508,63.572159,4
1851.3822,34.337238,64.160469,4
